,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
154.9895966735694,"[22.75, 13.5]",,,,,,,,,
155.5306032393879,,,,,,,,"[19.5, 16.5]",,
158.95258645220028,,"[39.0, 12.0]",,,,,,,,
160.62472837250783,,,,,,,,,"[24, 12.0]",
161.431384738155,,,,,,,"[41.0, 19.5]",,,
166.37436338402983,,,,,"[24, 12.0]",,,,,
170.69194333407418,,"[44.25, 22.5]",,,,,,,,
172.2730799969695,,,"(0, 0)",,,,,,,
176.95737570296058,,,,,,,,,,"(0, 0)"
181.05192345776186,,,,"[39.0, 9.0]",,,,,,
181.0746827882775,,,,,,,,"(0, 0)",,
181.44356612996665,"(0, 0)",,,,,,,,,
185.58536283746795,,,,,"[42.25, 18.0]",,,,,
187.45754410250532,,,,,,,,,"(0, 0)",
192.84114448969964,,,,,,"(0, 0)",,,,
196.24311337199842,,,"[20.75, 12.0]",,,,,,,
199.10461029331069,,,,,,,,,,"[19.5, 10.5]"
200.74311337199842,,,"[20.75, 16.5]",,,,,,,
205.10461029331069,,,,,,,,,,"[19.5, 16.5]"
206.74311337199842,,,"[20.75, 22.5]",,,,,,,
206.83237591676254,,,,,,,"(0, 0)",,,
208.68406555912978,,,,,,,,,,"[22.75, 15.0]"
209.99311337199842,,,"[19.5, 19.5]",,,,,,,
211.93406555912978,,,,,,,,,,"[24, 12.0]"
213.5725686378175,,,"[22.75, 21.0]",,,,,,,
213.96815518561692,,,,,,,,,"[20.75, 16.5]",
219.5244726179523,,,,,,"[26, 6.0]",,,,
220.3337855641929,,"(0, 0)",,,,,,,,
221.0725686378175,,,"[22.75, 13.5]",,,,,,,
221.07691565014085,,,,"(0, 0)",,,,,,
222.5725686378175,,,"[22.75, 12.0]",,,,,,,
222.9255395276201,,,,,,,,,,"[20.75, 22.5]"
224.52513105679418,,,"[24, 13.5]",,,,,,,
227.69836398008823,,,,,,"[22.75, 13.5]",,,,
228.9255395276201,,,,,,,,,,"[20.75, 16.5]"
229.19836398008823,,,,,,"[22.75, 15.0]",,,,
230.09025152578783,"[47.5, 10.5]",,,,,,,,,
231.50989331955344,,,,,"(0, 0)",,,,,
231.83391840111943,,,,,,,,"[45.5, 22.5]",,
233.69836398008823,,,,,,"[22.75, 19.5]",,,,
234.9255395276201,,,,,,,,,,"[20.75, 10.5]"
236.94836398008823,,,,,,"[24, 16.5]",,,,
239.09025152578783,"[47.5, 19.5]",,,,,,,,,
240.47876626872852,,,,,,,,,"(0, 0)",
241.6917804703408,,,,,,"[19.5, 18.0]",,,,
244.30381893922183,,"[20.75, 12.0]",,,,,,,,
244.64115235358148,"[44.25, 15.0]",,,,,,,,,
245.80381893922183,,"[20.75, 13.5]",,,,,,,,
246.0773931190465,,,"[45.5, 15.0]",,,,,,,
246.46191035763127,,,,,,,"[34.5, 19.5]",,,
247.14115235358148,"[42.25, 16.5]",,,,,,,,,
247.29556449718567,,,,,,,,"[31.25, 16.5]",,
247.58752673325245,,,,"[20.75, 16.5]",,,,,,
247.82060580640643,,,,,,"[20.75, 12.0]",,,,
248.80381893922183,,"[20.75, 16.5]",,,,,,,,
249.71191035763127,,,,,,,"[35.75, 22.5]",,,
250.5773931190465,,,"[45.5, 19.5]",,,,,,,
252.69205318137512,"[39.0, 12.0]",,,,,,,,,
