,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
149.6553325406024,,,"[20.75, 12.0]",,,,,,,
150.2740475747079,,,,,,,,,,"[19.5, 10.5]"
154.1553325406024,,,"[20.75, 16.5]",,,,,,,
154.94986462671147,,,,,,"[22.75, 13.5]",,,,
154.9895966735694,"[47.5, 10.5]",,,,,,,,,
155.7306032393879,,,,,,,,"[45.5, 22.5]",,
156.2740475747079,,,,,,,,,,"[19.5, 16.5]"
156.44986462671147,,,,,,"[22.75, 15.0]",,,,
159.853502840527,,,,,,,,,,"[22.75, 15.0]"
160.1553325406024,,,"[20.75, 22.5]",,,,,,,
160.62472837250783,,,,,,,,,"(0, 0)",
160.72472837250783,,,,,,,,,,
160.94986462671147,,,,,,"[22.75, 19.5]",,,,
161.431384738155,,,,,,,"[34.5, 19.5]",,,
163.103502840527,,,,,,,,,,"[24, 12.0]"
163.4053325406024,,,"[19.5, 19.5]",,,,,,,
163.9895966735694,"[47.5, 19.5]",,,,,,,,,
164.19986462671147,,,,,,"[24, 16.5]",,,,
164.681384738155,,,,,,,"[35.75, 22.5]",,,
166.98478780642148,,,"[22.75, 21.0]",,,,,,,
168.94328111696404,,,,,,"[19.5, 18.0]",,,,
169.54049750136303,"[44.25, 15.0]",,,,,,,,,
170.69194333407418,,"[20.75, 12.0]",,,,,,,,
171.19224933545414,,,,,,,,"[31.25, 16.5]",,
172.04049750136303,"[42.25, 16.5]",,,,,,,,,
172.19194333407418,,"[20.75, 13.5]",,,,,,,,
174.0949768090173,,,,,,,,,,"[20.75, 22.5]"
174.48478780642148,,,"[22.75, 13.5]",,,,,,,
175.07210645302968,,,,,,"[20.75, 12.0]",,,,
175.19194333407418,,"[20.75, 16.5]",,,,,,,,
175.98478780642148,,,"[22.75, 12.0]",,,,,,,
177.59139832915668,"[39.0, 12.0]",,,,,,,,,
177.93735022539815,,,"[24, 13.5]",,,,,,,
178.1906408242613,,,,,,,"[44.25, 12.0]",,,
179.03842674869173,,,,,,,,"[24, 19.5]",,
180.0949768090173,,,,,,,,,,"[20.75, 16.5]"
181.05192345776186,,,,"(0, 0)",,,,,,
181.15192345776185,,,,,,,,,,
181.19194333407418,,"[20.75, 22.5]",,,,,,,,
182.61359232749982,,,,,,,"[47.5, 9.0]",,,
183.14450575305085,,"[19.5, 21.0]",,,,,,,,
185.58536283746795,,,,,"[22.75, 12.0]",,,,,
186.0949768090173,,,,,,,,,,"[20.75, 10.5]"
187.23533945561942,,,,,,,,,"[20.75, 16.5]",
188.03842674869173,,,,,,,,"[24, 10.5]",,
188.83536283746795,,,,,"[24, 9.0]",,,,,
189.50846678372977,,"[24, 16.5]",,,,,,,,
191.61788201451083,,,,,,,,"[20.75, 9.0]",,
192.50846678372977,,"[24, 13.5]",,,,,,,,
193.7468927505602,"[24, 6.0]",,,,,,,,,
194.61788201451083,,,,,,,,"[20.75, 6.0]",,
195.50846678372977,,"[24, 10.5]",,,,,,,,
196.33536283746795,,,,,"[24, 16.5]",,,,,
198.41727817362755,"[22.75, 10.5]",,,,,,,,,
