,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
131.4358765573182,,,,,"[19.5, 21.0]",,,,,
132.50996670772278,,,"[22.75, 12.0]",,,,,,,
133.00319028893188,,"[19.5, 21.0]",,,,,,,,
134.01823665877396,,,,,,,"[26, 6.0]",,,
138.02989660696463,,,,,,,,"(0, 0)",,
138.12989660696462,,,,,,,,,,
138.22989660696462,,,,,,,,,,
141.66541844749344,,,,,,,,,,"[20.75, 6.0]"
143.01823665877396,,,,,,,"[26, 15.0]",,,
143.0529420132131,,,,"[15.25, 10.5]",,,,,,
146.59769192459305,,,,,,,"[29.25, 13.5]",,,
147.19253278568652,,,,,,,,,"(0, 0)",
147.25633898872158,"[15.25, 10.5]",,,,,,,,,
147.29253278568652,,,,,,,,,,
147.3925327856865,,,,,,,,,,
148.6259507336501,,,,,,"[15.25, 10.5]",,,,
148.7538191387088,,,,"[20.75, 9.0]",,,,,,
150.2538191387088,,,,"[20.75, 10.5]",,,,,,
156.70369794435183,,,,,,"[22.75, 13.5]",,,,
156.7174116709838,,,,,,,,,,"[19.5, 21.0]"
157.85727230158156,,,,"[19.5, 18.0]",,,,,,
158.23082400292193,,,"(0, 0)",,,,,,,
158.33082400292193,,,,,,,,,,
158.43082400292192,,,,,,,,,,
159.4358765573182,,,,,"[47.5, 21.0]",,,,,
161.66065005074609,,"(0, 0)",,,,,,,,
161.76065005074608,,,,,,,,,,
161.86065005074607,,,,,,,,,,
163.26559921477755,,,,"[24, 21.0]",,,,,,
164.3071511072246,,,,,,"[24, 21.0]",,,,
164.76559921477755,,,,"[24, 19.5]",,,,,,
166.88735636877882,,,,,,,,"[19.5, 21.0]",,
168.8071511072246,,,,,,"[24, 16.5]",,,,
169.34769192459305,,,,,,,"[52.0, 13.5]",,,
172.26559921477755,,,,"[24, 12.0]",,,,,,
174.0180773476604,,,,,,,"[50.75, 9.0]",,,
174.07586091393918,,,,,,,,,"[26, 6.0]",
174.2979735547015,"[42.25, 12.0]",,,,,,,,,
175.7979735547015,"[42.25, 13.5]",,,,,,,,,
177.33315288641364,,,,,"[31.25, 13.5]",,,,,
178.26559921477755,,,,"[24, 6.0]",,,,,,
178.2979735547015,"[44.25, 15.0]",,,,,,,,,
178.57586091393918,,,,,,,,,"[26, 10.5]",
183.18587399277249,,,"[20.75, 13.5]",,,,,,,
183.26559921477755,,,,"[28.0, 9.0]",,,,,,
183.7680773476604,,,,,,,"[41.0, 9.0]",,,
185.09524023454367,,,,,"[29.25, 6.0]",,,,,
185.37487143279802,,,,,,,,,,"(0, 0)"
185.474871432798,,,,,,,,,,
185.574871432798,,,,,,,,,,
185.7979735547015,"[44.25, 22.5]",,,,,,,,,
187.58150734594523,,"[22.75, 12.0]",,,,,,,,
188.19102885089893,,,,,,,"[37.75, 12.0]",,,
189.5511261361336,,,,,,"[44.25, 21.0]",,,,
190.78932715564525,,,"[19.5, 21.0]",,,,,,,
190.92494994916765,,,,,,,,,"[32.5, 21.0]",
191.34887438249515,"[47.5, 18.0]",,,,,,,,,
194.00396501223483,,,,"[37.75, 13.5]",,,,,,
195.54481613059303,,,,,,,,"(0, 0)",,
195.64481613059303,,,,,,,,,,
195.74481613059302,,,,,,,,,,
196.16363821044993,,,,,,,"[32.5, 6.0]",,,
196.37479816811168,,,,,,"[41.0, 15.0]",,,,
197.15033695044755,,"[19.5, 21.0]",,,,,,,,
198.96321851778117,,,"[22.75, 13.5]",,,,,,,
201.32927597251006,,,,,,,,,"[24, 15.0]",
201.75320040583756,"[39.0, 12.0]",,,,,,,,,
202.55866386364355,,"[24, 18.0]",,,,,,,,
203.63360394084853,,,"[24, 9.0]",,,,,,,
205.38867635677167,,,,,,"[32.5, 12.0]",,,,
