wave,distance,routes,order_per_wave,robot
30,261,"[[26, 15.0], [26, 22.5], [24, 21.0], [24, 10.5], [24, 6.0], [22.75, 13.5], [22.75, 15.0], [22.75, 21.0], [19.5, 21.0], [20.75, 18.0], [20.75, 9.0], (0, 0), [37.75, 10.5], [47.5, 10.5], [31.25, 12.0], [26, 15.0]]",9,R1
31,259,"[[22.75, 15.0], [24, 21.0], [26, 15.0], [28.0, 18.0], [41.0, 19.5], [52.0, 13.5], [42.25, 6.0], [32.5, 6.0], [24, 6.0], (0, 0), [20.75, 9.0], [20.75, 13.5], [22.75, 15.0]]",9,R2
32,248,"[[47.5, 10.5], [47.5, 19.5], [52.0, 13.5], [39.0, 16.5], [24, 21.0], [24, 19.5], [24, 18.0], [22.75, 15.0], [20.75, 13.5], [20.75, 9.0], (0, 0), [28.0, 12.0], [47.5, 10.5]]",9,R3
33,228,"[[28.0, 15.0], [32.5, 21.0], [44.25, 21.0], [47.5, 19.5], [52.0, 12.0], [41.0, 10.5], [24, 6.0], [20.75, 9.0], (0, 0), [28.0, 15.0]]",9,R4
34,184,"[[22.75, 6.0], [24, 9.0], [31.25, 16.5], [45.5, 16.5], [15.25, 21.0], (0, 0), [22.75, 6.0]]",9,R5
35,189,"[(0, 0), [20.75, 9.0], [26, 6.0], [37.75, 6.0], [39.0, 9.0], [41.0, 10.5], [24, 21.0], [24, 9.0], (0, 0)]",9,R6
36,155,"[[47.5, 6.0], (0, 0), [20.75, 12.0], [20.75, 13.5], [32.5, 18.0], [47.5, 6.0]]",9,R7
37,248,"[[22.75, 19.5], [22.75, 13.5], [24, 18.0], [24, 9.0], [31.25, 13.5], [35.75, 19.5], [34.5, 12.0], [41.0, 10.5], (0, 0), [15.25, 10.5], [19.5, 18.0], [22.75, 19.5]]",9,R8
38,186,"[[22.75, 12.0], [22.75, 21.0], [24, 16.5], [24, 18.0], [45.5, 18.0], [45.5, 22.5], [41.0, 15.0], [41.0, 13.5], [41.0, 10.5], [39.0, 9.0], (0, 0), [22.75, 12.0]]",9,R9
39,240,"[[24, 10.5], [26, 6.0], [44.25, 9.0], [41.0, 13.5], [37.75, 13.5], [20.75, 21.0], [22.75, 13.5], [22.75, 12.0], (0, 0), [15.25, 10.5], [24, 10.5]]",9,R10
40,198,"[[47.5, 22.5], [24, 19.5], [24, 16.5], [24, 13.5], [22.75, 15.0], [22.75, 12.0], [22.75, 10.5], [22.75, 6.0], (0, 0), [20.75, 6.0], [20.75, 9.0], [20.75, 16.5], [19.5, 21.0], [19.5, 15.0], [32.5, 21.0], [47.5, 22.5]]",9,R1
