wave,distance,routes,order_per_wave,robot
132,166,"[(0, 0), [26, 6.0], [41.0, 10.5], [37.75, 19.5], [26, 22.5], [20.75, 22.5], [22.75, 15.0], [22.75, 12.0], [22.75, 6.0], (0, 0)]",9,R3
133,213,"[(0, 0), [20.75, 9.0], [24, 6.0], [24, 10.5], [45.5, 13.5], [42.25, 16.5], [26, 22.5], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R3
134,124,"[(0, 0), [22.75, 15.0], [37.75, 13.5], (0, 0)]",9,R3
135,249,"[(0, 0), [20.75, 9.0], [20.75, 22.5], [19.5, 21.0], [22.75, 13.5], [52.0, 13.5], [44.25, 21.0], [44.25, 15.0], [37.75, 13.5], [24, 13.5], [24, 6.0], (0, 0)]",9,R3
136,205,"[(0, 0), [24, 10.5], [24, 15.0], [24, 21.0], [22.75, 13.5], [19.5, 21.0], [44.25, 15.0], [44.25, 16.5], [45.5, 22.5], [47.5, 12.0], (0, 0)]",9,R3
137,193,"[(0, 0), [20.75, 6.0], [20.75, 10.5], [20.75, 9.0], [22.75, 10.5], [22.75, 13.5], [24, 13.5], [32.5, 18.0], [44.25, 9.0], (0, 0)]",9,R3
138,187,"[(0, 0), [24, 13.5], [24, 19.5], [24, 21.0], [19.5, 21.0], [26, 15.0], [42.25, 15.0], [31.25, 9.0], (0, 0)]",9,R3
139,269,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [22.75, 15.0], [45.5, 18.0], [47.5, 6.0], [44.25, 6.0], [37.75, 12.0], [34.5, 12.0], [34.5, 15.0], [31.25, 16.5], [31.25, 9.0], (0, 0)]",9,R3
140,118,"[(0, 0), [47.5, 12.0], (0, 0)]",9,R3
141,80,"[(0, 0), [19.5, 21.0], (0, 0)]",9,R3
142,58,"[(0, 0), [20.75, 9.0], (0, 0)]",9,R3
143,261,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [19.5, 21.0], [22.75, 13.5], [24, 13.5], [26, 19.5], [47.5, 22.5], [47.5, 16.5], [42.25, 9.0], [39.0, 9.0], [37.75, 9.0], (0, 0)]",9,R3
144,235,"[(0, 0), [22.75, 12.0], [19.5, 21.0], [32.5, 19.5], [44.25, 22.5], [50.75, 9.0], [37.75, 9.0], [31.25, 6.0], [26, 13.5], (0, 0)]",9,R3
145,102,"[(0, 0), [41.0, 10.5], (0, 0)]",9,R3
146,124,"[(0, 0), [20.75, 9.0], [37.75, 18.0], (0, 0)]",9,R3
147,298,"[(0, 0), [20.75, 9.0], [22.75, 13.5], [19.5, 21.0], [24, 13.5], [34.5, 13.5], [34.5, 21.0], [44.25, 15.0], [45.5, 16.5], [48.75, 12.0], [39.0, 9.0], [31.25, 12.0], (0, 0)]",9,R3
148,268,"[(0, 0), [15.25, 9.0], [20.75, 6.0], [24, 6.0], [24, 9.0], [26, 10.5], [19.5, 21.0], [20.75, 22.5], [29.25, 13.5], [31.25, 19.5], [48.75, 16.5], [47.5, 9.0], (0, 0)]",9,R3
149,214,"[(0, 0), [20.75, 9.0], [20.75, 13.5], [24, 12.0], [24, 19.5], [35.75, 19.5], [41.0, 13.5], [44.25, 21.0], [28.0, 12.0], [28.0, 6.0], [26, 6.0], (0, 0)]",9,R3
150,229,"[(0, 0), [15.25, 21.0], [28.0, 16.5], [28.0, 10.5], [28.0, 9.0], [34.5, 6.0], [24, 12.0], [26, 10.5], [26, 16.5], [22.75, 16.5], [22.75, 13.5], [22.75, 6.0], [20.75, 9.0], [20.75, 12.0], (0, 0)]",9,R3
151,211,"[(0, 0), [24, 10.5], [24, 13.5], [22.75, 13.5], [47.5, 21.0], [47.5, 16.5], [48.75, 12.0], [34.5, 12.0], [34.5, 9.0], (0, 0)]",9,R3
152,98,"[(0, 0), [35.75, 13.5], (0, 0)]",9,R3
153,265,"[(0, 0), [20.75, 9.0], [24, 10.5], [24, 19.5], [22.75, 15.0], [15.25, 21.0], [45.5, 13.5], [42.25, 15.0], [41.0, 16.5], [41.0, 13.5], [35.75, 13.5], (0, 0)]",9,R3
154,312,"[(0, 0), [20.75, 9.0], [22.75, 6.0], [22.75, 9.0], [22.75, 21.0], [15.25, 21.0], [24, 16.5], [24, 19.5], [45.5, 16.5], [52.0, 15.0], [48.75, 12.0], [47.5, 9.0], [37.75, 21.0], [37.75, 13.5], [35.75, 9.0], (0, 0)]",9,R3
155,238,"[(0, 0), [20.75, 9.0], [20.75, 15.0], [19.5, 18.0], [22.75, 21.0], [41.0, 15.0], [44.25, 15.0], [47.5, 18.0], [45.5, 10.5], [29.25, 9.0], (0, 0)]",9,R3
156,253,"[(0, 0), [15.25, 10.5], [20.75, 10.5], [20.75, 12.0], [19.5, 18.0], [47.5, 22.5], [47.5, 15.0], [41.0, 15.0], [35.75, 16.5], [28.0, 15.0], [22.75, 15.0], [22.75, 13.5], [22.75, 6.0], (0, 0)]",9,R3
157,243,"[(0, 0), [22.75, 12.0], [28.0, 9.0], [28.0, 15.0], [29.25, 13.5], [42.25, 12.0], [47.5, 12.0], [52.0, 10.5], (0, 0)]",9,R3
158,144,"[(0, 0), [19.5, 21.0], [37.75, 18.0], [41.0, 22.5], [41.0, 15.0], (0, 0)]",9,R3
159,218,"[(0, 0), [19.5, 9.0], [20.75, 12.0], [26, 6.0], [28.0, 6.0], [41.0, 10.5], [42.25, 13.5], [22.75, 18.0], [22.75, 15.0], [22.75, 13.5], [22.75, 12.0], (0, 0)]",9,R3
160,290,"[(0, 0), [20.75, 9.0], [41.0, 13.5], [42.25, 9.0], [47.5, 10.5], [47.5, 19.5], [37.75, 13.5], [24, 19.5], [26, 16.5], [26, 6.0], [22.75, 6.0], [22.75, 12.0], [22.75, 15.0], [19.5, 21.0], [19.5, 12.0], (0, 0)]",9,R3
161,143,"[(0, 0), [20.75, 9.0], [20.75, 10.5], [28.0, 9.0], [28.0, 15.0], [32.5, 19.5], [22.75, 21.0], [22.75, 13.5], [22.75, 12.0], (0, 0)]",9,R3
162,236,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [22.75, 15.0], [24, 13.5], [24, 9.0], [41.0, 9.0], [35.75, 22.5], [31.25, 16.5], [26, 21.0], [26, 15.0], [15.25, 21.0], [20.75, 12.0], [20.75, 9.0], (0, 0)]",9,R3
163,269,"[(0, 0), [20.75, 9.0], [20.75, 10.5], [20.75, 12.0], [42.25, 12.0], [48.75, 12.0], [47.5, 10.5], [47.5, 21.0], [41.0, 18.0], [37.75, 21.0], [32.5, 18.0], [28.0, 15.0], [22.75, 21.0], [22.75, 15.0], [22.75, 12.0], (0, 0)]",9,R3
164,278,"[(0, 0), [20.75, 9.0], [24, 12.0], [24, 10.5], [29.25, 9.0], [37.75, 13.5], [39.0, 9.0], [47.5, 10.5], [44.25, 22.5], [28.0, 15.0], [22.75, 21.0], [19.5, 12.0], (0, 0)]",9,R3
165,114,"[(0, 0), [42.25, 15.0], (0, 0)]",9,R3
166,126,"[(0, 0), [22.75, 15.0], [20.75, 22.5], [34.5, 12.0], (0, 0)]",9,R3
167,191,"[(0, 0), [20.75, 6.0], [20.75, 10.5], [20.75, 18.0], [24, 19.5], [24, 21.0], [48.75, 12.0], [26, 6.0], [22.75, 13.5], [22.75, 12.0], (0, 0)]",9,R4
168,226,"[(0, 0), [15.25, 10.5], [20.75, 9.0], [20.75, 10.5], [19.5, 18.0], [24, 21.0], [24, 19.5], [24, 12.0], [24, 6.0], [28.0, 9.0], [37.75, 13.5], [22.75, 18.0], [22.75, 12.0], (0, 0)]",9,R4
169,245,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [24, 6.0], [24, 16.5], [22.75, 13.5], [15.25, 21.0], [26, 21.0], [41.0, 22.5], [50.75, 9.0], [34.5, 9.0], (0, 0)]",9,R4
170,223,"[(0, 0), [20.75, 9.0], [47.5, 9.0], [52.0, 6.0], [52.0, 13.5], [37.75, 16.5], [31.25, 16.5], [26, 22.5], [22.75, 15.0], [22.75, 13.5], [22.75, 6.0], (0, 0)]",9,R4
171,259,"[(0, 0), [28.0, 6.0], [28.0, 12.0], [47.5, 12.0], [44.25, 6.0], [44.25, 15.0], [42.25, 16.5], [37.75, 15.0], [26, 16.5], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R4
172,180,"[(0, 0), [22.75, 12.0], [24, 9.0], [34.5, 9.0], [34.5, 12.0], [31.25, 19.5], [19.5, 19.5], [20.75, 15.0], [20.75, 12.0], [20.75, 10.5], [20.75, 9.0], (0, 0)]",9,R4
173,272,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [22.75, 18.0], [24, 19.5], [47.5, 22.5], [48.75, 12.0], [45.5, 21.0], [45.5, 12.0], [41.0, 10.5], [39.0, 9.0], [34.5, 12.0], [34.5, 9.0], (0, 0)]",9,R4
174,132,"[(0, 0), [22.75, 15.0], [19.5, 21.0], [26, 15.0], [26, 22.5], [24, 21.0], [24, 19.5], [24, 16.5], [24, 15.0], [24, 13.5], (0, 0)]",9,R4
175,261,"[(0, 0), [20.75, 10.5], [20.75, 6.0], [47.5, 12.0], [35.75, 13.5], [24, 19.5], [26, 16.5], [26, 10.5], [24, 6.0], [22.75, 13.5], [22.75, 19.5], [19.5, 21.0], [19.5, 9.0], (0, 0)]",9,R4
176,265,"[(0, 0), [22.75, 6.0], [24, 9.0], [29.25, 10.5], [47.5, 12.0], [45.5, 13.5], [44.25, 21.0], [35.75, 21.0], [28.0, 15.0], [22.75, 21.0], [19.5, 21.0], [15.25, 21.0], (0, 0)]",9,R4
177,141,"[(0, 0), [15.25, 21.0], [26, 16.5], [37.75, 12.0], (0, 0)]",9,R4
178,189,"[(0, 0), [20.75, 13.5], [19.5, 21.0], [24, 21.0], [24, 13.5], [35.75, 22.5], [52.0, 13.5], (0, 0)]",9,R4
179,86,"[(0, 0), [24, 19.5], (0, 0)]",9,R4
180,138,"[(0, 0), [22.75, 6.0], [26, 10.5], [19.5, 21.0], [15.25, 21.0], [20.75, 12.0], (0, 0)]",9,R4
181,64,"[(0, 0), [20.75, 12.0], (0, 0)]",9,R4
182,238,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [26, 12.0], [37.75, 6.0], [44.25, 16.5], [24, 18.0], [19.5, 21.0], [19.5, 19.5], [15.25, 21.0], [20.75, 12.0], (0, 0)]",9,R4
183,114,"[(0, 0), [45.5, 12.0], (0, 0)]",9,R4
184,130,"[(0, 0), [22.75, 6.0], [22.75, 13.5], [19.5, 21.0], [24, 16.5], [24, 18.0], [24, 19.5], [26, 13.5], [26, 6.0], (0, 0)]",9,R4
185,105,"[(0, 0), [20.75, 9.0], [26, 22.5], [22.75, 13.5], (0, 0)]",9,R4
186,221,"[(0, 0), [20.75, 9.0], [28.0, 15.0], [28.0, 22.5], [34.5, 16.5], [34.5, 12.0], [39.0, 9.0], [41.0, 10.5], [37.75, 21.0], [32.5, 12.0], (0, 0)]",9,R4
187,233,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [20.75, 13.5], [20.75, 22.5], [19.5, 21.0], [15.25, 21.0], [22.75, 21.0], [22.75, 16.5], [22.75, 13.5], [24, 10.5], [24, 12.0], [26, 18.0], [44.25, 21.0], [37.75, 13.5], [37.75, 10.5], (0, 0)]",9,R4
188,220,"[(0, 0), [20.75, 9.0], [20.75, 10.5], [22.75, 9.0], [24, 13.5], [24, 21.0], [19.5, 21.0], [26, 22.5], [35.75, 21.0], [44.25, 19.5], [47.5, 12.0], [47.5, 9.0], (0, 0)]",9,R4
189,242,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [19.5, 18.0], [26, 22.5], [32.5, 18.0], [32.5, 16.5], [32.5, 9.0], [32.5, 6.0], [39.0, 9.0], [41.0, 15.0], [37.75, 21.0], [28.0, 16.5], [28.0, 15.0], [28.0, 6.0], [20.75, 10.5], [20.75, 9.0], (0, 0)]",9,R4
190,210,"[(0, 0), [20.75, 6.0], [20.75, 12.0], [26, 22.5], [35.75, 18.0], [37.75, 21.0], [28.0, 15.0], [24, 16.5], [24, 13.5], [22.75, 13.5], [26, 6.0], (0, 0)]",9,R4
191,222,"[(0, 0), [15.25, 12.0], [20.75, 9.0], [20.75, 10.5], [20.75, 21.0], [22.75, 15.0], [24, 21.0], [32.5, 18.0], [37.75, 21.0], [39.0, 9.0], [34.5, 12.0], (0, 0)]",9,R4
192,125,"[(0, 0), [34.5, 13.5], [37.75, 16.5], (0, 0)]",9,R4
193,236,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [48.75, 10.5], [44.25, 10.5], [41.0, 10.5], [31.25, 22.5], [31.25, 21.0], [24, 19.5], [19.5, 21.0], [22.75, 15.0], [22.75, 12.0], (0, 0)]",9,R4
194,254,"[(0, 0), [22.75, 6.0], [22.75, 10.5], [26, 10.5], [45.5, 13.5], [52.0, 13.5], [41.0, 15.0], [35.75, 15.0], [24, 18.0], [24, 10.5], (0, 0)]",9,R4
195,189,"[(0, 0), [15.25, 6.0], [15.25, 10.5], [24, 19.5], [24, 16.5], [26, 15.0], [37.75, 13.5], [28.0, 9.0], [22.75, 6.0], (0, 0)]",9,R4
196,146,"[(0, 0), [22.75, 13.5], [34.5, 19.5], [24, 19.5], [20.75, 21.0], [19.5, 21.0], (0, 0)]",9,R4
197,151,"[(0, 0), [19.5, 21.0], [26, 16.5], [32.5, 18.0], [35.75, 10.5], (0, 0)]",9,R4
198,172,"[(0, 0), [19.5, 21.0], [24, 18.0], [24, 21.0], [37.75, 21.0], [41.0, 15.0], [42.25, 9.0], (0, 0)]",9,R4
199,201,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [24, 6.0], [39.0, 9.0], [39.0, 18.0], [44.25, 18.0], [45.5, 22.5], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R4
200,212,"[(0, 0), [20.75, 6.0], [28.0, 9.0], [39.0, 9.0], [41.0, 10.5], [31.25, 18.0], [26, 22.5], [19.5, 21.0], [24, 21.0], [24, 13.5], (0, 0)]",9,R4
201,236,"[(0, 0), [20.75, 12.0], [19.5, 21.0], [22.75, 15.0], [22.75, 12.0], [26, 15.0], [34.5, 13.5], [35.75, 18.0], [37.75, 13.5], [39.0, 9.0], (0, 0)]",9,R4
202,243,"[(0, 0), [20.75, 9.0], [22.75, 13.5], [22.75, 12.0], [32.5, 6.0], [42.25, 12.0], [45.5, 13.5], [41.0, 15.0], [31.25, 21.0], [19.5, 21.0], [19.5, 12.0], (0, 0)]",9,R4
203,248,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [22.75, 10.5], [19.5, 21.0], [35.75, 13.5], [37.75, 21.0], [42.25, 15.0], [42.25, 12.0], [52.0, 6.0], [47.5, 12.0], (0, 0)]",9,R4
204,188,"[(0, 0), [20.75, 9.0], [22.75, 13.5], [22.75, 15.0], [19.5, 21.0], [34.5, 16.5], [37.75, 21.0], [42.25, 12.0], (0, 0)]",9,R4
205,202,"[(0, 0), [20.75, 9.0], [20.75, 15.0], [22.75, 13.5], [24, 21.0], [32.5, 21.0], [34.5, 22.5], [44.25, 16.5], [47.5, 10.5], (0, 0)]",9,R4
206,143,"[(0, 0), [20.75, 9.0], [20.75, 10.5], [19.5, 21.0], [31.25, 22.5], [34.5, 12.0], [32.5, 6.0], (0, 0)]",9,R4
207,247,"[(0, 0), [20.75, 6.0], [24, 13.5], [19.5, 21.0], [32.5, 10.5], [34.5, 9.0], [35.75, 22.5], [37.75, 18.0], [52.0, 10.5], (0, 0)]",9,R4
208,145,"[(0, 0), [20.75, 9.0], [45.5, 22.5], [24, 21.0], (0, 0)]",9,R4
209,90,"[(0, 0), [20.75, 9.0], [19.5, 21.0], (0, 0)]",9,R4
210,229,"[(0, 0), [20.75, 9.0], [19.5, 21.0], [24, 21.0], [35.75, 21.0], [41.0, 15.0], [44.25, 19.5], [52.0, 13.5], [31.25, 16.5], [31.25, 6.0], (0, 0)]",9,R4
211,201,"[(0, 0), [20.75, 9.0], [20.75, 10.5], [19.5, 21.0], [32.5, 21.0], [44.25, 22.5], [47.5, 12.0], [47.5, 21.0], [37.75, 15.0], [37.75, 13.5], [32.5, 6.0], (0, 0)]",9,R4
212,270,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [20.75, 15.0], [19.5, 21.0], [26, 15.0], [47.5, 12.0], [41.0, 15.0], [35.75, 22.5], [35.75, 19.5], [34.5, 15.0], [24, 21.0], [24, 13.5], [24, 10.5], [22.75, 12.0], (0, 0)]",9,R4
213,240,"[(0, 0), [22.75, 9.0], [22.75, 12.0], [20.75, 18.0], [19.5, 21.0], [24, 21.0], [34.5, 13.5], [39.0, 16.5], [47.5, 12.0], [26, 10.5], (0, 0)]",9,R4
214,273,"[(0, 0), [20.75, 9.0], [22.75, 12.0], [41.0, 10.5], [37.75, 13.5], [34.5, 13.5], [31.25, 22.5], [31.25, 12.0], [26, 16.5], [15.25, 21.0], [19.5, 15.0], (0, 0)]",9,R4
215,270,"[(0, 0), [20.75, 13.5], [20.75, 15.0], [19.5, 21.0], [22.75, 13.5], [24, 12.0], [32.5, 19.5], [34.5, 19.5], [37.75, 12.0], [47.5, 12.0], [50.75, 9.0], (0, 0)]",9,R4
216,276,"[(0, 0), [32.5, 6.0], [34.5, 12.0], [39.0, 9.0], [44.25, 6.0], [47.5, 10.5], [47.5, 12.0], [45.5, 19.5], [44.25, 22.5], [24, 13.5], [15.25, 21.0], [19.5, 21.0], [22.75, 15.0], [22.75, 13.5], (0, 0)]",9,R4
217,191,"[(0, 0), [15.25, 6.0], [24, 6.0], [47.5, 12.0], [37.75, 21.0], [26, 21.0], [19.5, 21.0], [20.75, 9.0], [20.75, 6.0], (0, 0)]",9,R4
218,224,"[(0, 0), [19.5, 21.0], [45.5, 22.5], [52.0, 13.5], [47.5, 10.5], [47.5, 9.0], [39.0, 9.0], [34.5, 15.0], [34.5, 9.0], (0, 0)]",9,R4
219,166,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [24, 21.0], [32.5, 18.0], [41.0, 22.5], [42.25, 9.0], (0, 0)]",9,R4
220,291,"[(0, 0), [15.25, 12.0], [19.5, 21.0], [20.75, 21.0], [20.75, 16.5], [20.75, 12.0], [24, 16.5], [22.75, 13.5], [22.75, 12.0], [26, 6.0], [26, 12.0], [37.75, 12.0], [39.0, 15.0], [44.25, 21.0], [45.5, 10.5], (0, 0)]",9,R4
221,86,"[(0, 0), [20.75, 22.5], (0, 0)]",9,R4
222,185,"[(0, 0), [20.75, 9.0], [22.75, 10.5], [24, 21.0], [24, 19.5], [24, 18.0], [26, 15.0], [37.75, 12.0], [32.5, 6.0], (0, 0)]",9,R5
223,177,"[(0, 0), [22.75, 12.0], [19.5, 21.0], [47.5, 21.0], [31.25, 13.5], [29.25, 6.0], (0, 0)]",9,R5
224,278,"[(0, 0), [20.75, 6.0], [19.5, 21.0], [44.25, 22.5], [42.25, 13.5], [52.0, 9.0], [39.0, 12.0], [35.75, 16.5], [31.25, 16.5], [31.25, 10.5], [26, 6.0], [22.75, 6.0], (0, 0)]",9,R5
225,80,"[(0, 0), [19.5, 21.0], (0, 0)]",9,R5
226,131,"[(0, 0), [28.0, 18.0], [41.0, 16.5], (0, 0)]",9,R5
227,216,"[(0, 0), [24, 10.5], [47.5, 12.0], [35.75, 21.0], [35.75, 13.5], [31.25, 22.5], [31.25, 16.5], [19.5, 21.0], [22.75, 13.5], [22.75, 12.0], (0, 0)]",9,R5
228,261,"[(0, 0), [22.75, 10.5], [19.5, 21.0], [45.5, 22.5], [47.5, 12.0], [44.25, 10.5], [39.0, 9.0], [37.75, 6.0], [31.25, 16.5], [24, 10.5], (0, 0)]",9,R5
229,124,"[(0, 0), [19.5, 21.0], [37.75, 21.0], (0, 0)]",9,R5
230,217,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [19.5, 21.0], [24, 18.0], [32.5, 22.5], [34.5, 19.5], [34.5, 13.5], [41.0, 15.0], [48.75, 12.0], (0, 0)]",9,R5
231,80,"[(0, 0), [19.5, 21.0], (0, 0)]",9,R5
232,104,"[(0, 0), [34.5, 18.0], (0, 0)]",9,R5
233,306,"[(0, 0), [20.75, 9.0], [35.75, 10.5], [39.0, 12.0], [48.75, 9.0], [45.5, 19.5], [37.75, 21.0], [37.75, 13.5], [28.0, 22.5], [26, 13.5], [19.5, 21.0], [24, 21.0], [24, 13.5], [24, 6.0], [22.75, 12.0], (0, 0)]",9,R5
234,68,"[(0, 0), [19.5, 15.0], (0, 0)]",9,R5
235,246,"[(0, 0), [20.75, 9.0], [26, 6.0], [28.0, 9.0], [48.75, 16.5], [35.75, 16.5], [34.5, 16.5], [19.5, 21.0], [19.5, 18.0], [22.75, 15.0], (0, 0)]",9,R5
236,134,"[(0, 0), [22.75, 10.5], [19.5, 21.0], [35.75, 13.5], (0, 0)]",9,R5
237,207,"[(0, 0), [20.75, 6.0], [32.5, 9.0], [39.0, 18.0], [31.25, 16.5], [24, 12.0], [24, 13.5], [19.5, 21.0], [22.75, 12.0], (0, 0)]",9,R5
238,247,"[(0, 0), [24, 6.0], [34.5, 6.0], [37.75, 10.5], [47.5, 9.0], [47.5, 18.0], [44.25, 15.0], [35.75, 22.5], [31.25, 19.5], [22.75, 18.0], [19.5, 21.0], [20.75, 15.0], [20.75, 9.0], (0, 0)]",9,R5
239,231,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [39.0, 9.0], [47.5, 6.0], [45.5, 15.0], [45.5, 19.5], [45.5, 21.0], [44.25, 21.0], [32.5, 21.0], [24, 19.5], [22.75, 21.0], [19.5, 21.0], [15.25, 21.0], (0, 0)]",9,R5
240,238,"[(0, 0), [19.5, 21.0], [20.75, 21.0], [26, 15.0], [26, 18.0], [44.25, 22.5], [52.0, 13.5], [45.5, 18.0], [45.5, 13.5], [45.5, 12.0], [44.25, 10.5], [34.5, 6.0], (0, 0)]",9,R5
241,231,"[(0, 0), [20.75, 9.0], [28.0, 6.0], [31.25, 9.0], [44.25, 22.5], [42.25, 16.5], [32.5, 18.0], [24, 21.0], [24, 16.5], [24, 18.0], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R5
242,116,"[(0, 0), [52.0, 6.0], (0, 0)]",9,R5
243,261,"[(0, 0), [20.75, 9.0], [32.5, 9.0], [37.75, 21.0], [41.0, 16.5], [44.25, 16.5], [45.5, 13.5], [47.5, 10.5], [48.75, 21.0], [19.5, 21.0], [19.5, 12.0], (0, 0)]",9,R5
244,136,"[(0, 0), [45.5, 22.5], (0, 0)]",9,R5
245,80,"[(0, 0), [19.5, 21.0], (0, 0)]",9,R5
246,205,"[(0, 0), [26, 6.0], [31.25, 6.0], [50.75, 12.0], [44.25, 16.5], [19.5, 21.0], [22.75, 12.0], (0, 0)]",9,R5
247,254,"[(0, 0), [15.25, 10.5], [24, 16.5], [41.0, 15.0], [44.25, 18.0], [45.5, 10.5], [45.5, 15.0], [47.5, 21.0], [52.0, 12.0], [52.0, 10.5], [20.75, 9.0], (0, 0)]",9,R5
248,217,"[(0, 0), [15.25, 12.0], [22.75, 13.5], [26, 19.5], [41.0, 15.0], [41.0, 13.5], [34.5, 9.0], [24, 9.0], [20.75, 9.0], (0, 0)]",9,R5
249,145,"[(0, 0), [22.75, 13.5], [31.25, 6.0], [47.5, 6.0], (0, 0)]",9,R5
250,319,"[(0, 0), [15.25, 10.5], [15.25, 6.0], [24, 12.0], [24, 9.0], [47.5, 9.0], [47.5, 21.0], [45.5, 19.5], [41.0, 15.0], [41.0, 10.5], [37.75, 13.5], [35.75, 21.0], [32.5, 10.5], [28.0, 18.0], [26, 16.5], [26, 6.0], [22.75, 12.0], (0, 0)]",9,R5
251,246,"[(0, 0), [20.75, 9.0], [20.75, 18.0], [19.5, 21.0], [22.75, 13.5], [24, 21.0], [26, 15.0], [31.25, 18.0], [34.5, 16.5], [44.25, 16.5], [45.5, 22.5], [45.5, 13.5], [45.5, 10.5], (0, 0)]",9,R5
252,80,"[(0, 0), [19.5, 21.0], (0, 0)]",9,R5
253,72,"[(0, 0), [24, 12.0], (0, 0)]",9,R5
254,76,"[(0, 0), [26, 12.0], (0, 0)]",9,R5
255,82,"[(0, 0), [26, 15.0], (0, 0)]",9,R5
256,240,"[(0, 0), [20.75, 12.0], [20.75, 9.0], [28.0, 9.0], [47.5, 9.0], [47.5, 12.0], [37.75, 21.0], [31.25, 16.5], [26, 16.5], [19.5, 21.0], [22.75, 12.0], [22.75, 9.0], [22.75, 6.0], (0, 0)]",9,R5
257,216,"[(0, 0), [20.75, 12.0], [15.25, 21.0], [22.75, 21.0], [45.5, 16.5], [47.5, 10.5], [31.25, 6.0], [24, 9.0], (0, 0)]",9,R5
258,140,"[(0, 0), [47.5, 22.5], (0, 0)]",9,R5
259,92,"[(0, 0), [28.0, 18.0], (0, 0)]",9,R5
260,199,"[(0, 0), [24, 6.0], [32.5, 9.0], [35.75, 22.5], [45.5, 15.0], [47.5, 6.0], [41.0, 13.5], (0, 0)]",9,R5
261,224,"[(0, 0), [24, 10.5], [24, 16.5], [41.0, 15.0], [45.5, 15.0], [50.75, 12.0], [47.5, 6.0], [35.75, 12.0], (0, 0)]",9,R5
262,201,"[(0, 0), [32.5, 6.0], [32.5, 10.5], [32.5, 15.0], [50.75, 13.5], [47.5, 19.5], [44.25, 15.0], [41.0, 15.0], [41.0, 10.5], (0, 0)]",9,R5
263,267,"[(0, 0), [29.25, 6.0], [29.25, 13.5], [39.0, 13.5], [44.25, 9.0], [50.75, 10.5], [52.0, 13.5], [41.0, 15.0], [35.75, 21.0], [32.5, 18.0], [32.5, 6.0], (0, 0)]",9,R5
264,246,"[(0, 0), [24, 6.0], [34.5, 12.0], [41.0, 10.5], [44.25, 10.5], [47.5, 6.0], [45.5, 10.5], [42.25, 18.0], [22.75, 19.5], (0, 0)]",9,R5
265,216,"[(0, 0), [24, 6.0], [24, 9.0], [44.25, 10.5], [45.5, 12.0], [45.5, 15.0], [47.5, 21.0], [41.0, 15.0], [34.5, 21.0], [20.75, 18.0], (0, 0)]",9,R5
266,249,"[(0, 0), [22.75, 10.5], [22.75, 13.5], [19.5, 18.0], [24, 12.0], [26, 10.5], [26, 13.5], [28.0, 18.0], [47.5, 22.5], [41.0, 10.5], [32.5, 9.0], [32.5, 6.0], (0, 0)]",9,R5
267,134,"[(0, 0), [20.75, 10.5], [42.25, 15.0], (0, 0)]",9,R5
268,259,"[(0, 0), [15.25, 10.5], [19.5, 16.5], [22.75, 13.5], [37.75, 21.0], [47.5, 15.0], [44.25, 12.0], [42.25, 12.0], [41.0, 13.5], [41.0, 9.0], (0, 0)]",9,R5
269,179,"[(0, 0), [35.75, 13.5], [41.0, 15.0], [45.5, 15.0], [42.25, 12.0], (0, 0)]",9,R5
270,203,"[(0, 0), [22.75, 12.0], [24, 15.0], [41.0, 15.0], [42.25, 16.5], [47.5, 22.5], [44.25, 12.0], [44.25, 10.5], (0, 0)]",9,R5
271,247,"[(0, 0), [28.0, 12.0], [39.0, 15.0], [41.0, 15.0], [41.0, 10.5], [42.25, 6.0], [45.5, 13.5], [45.5, 15.0], [48.75, 10.5], [50.75, 9.0], (0, 0)]",9,R5
272,245,"[(0, 0), [24, 6.0], [34.5, 10.5], [41.0, 10.5], [48.75, 6.0], [47.5, 9.0], [45.5, 18.0], [26, 15.0], [22.75, 15.0], [22.75, 13.5], (0, 0)]",9,R5
273,247,"[(0, 0), [19.5, 9.0], [24, 6.0], [24, 15.0], [39.0, 16.5], [41.0, 18.0], [41.0, 16.5], [41.0, 15.0], [42.25, 15.0], [44.25, 18.0], [47.5, 9.0], [35.75, 9.0], (0, 0)]",9,R5
274,239,"[(0, 0), [15.25, 10.5], [19.5, 19.5], [22.75, 13.5], [26, 22.5], [41.0, 18.0], [41.0, 15.0], [41.0, 13.5], [44.25, 9.0], [39.0, 12.0], [37.75, 12.0], (0, 0)]",9,R5
