wave,distance,routes,order_per_wave,robot
30,261,"[(0, 0), [20.75, 9.0], [20.75, 18.0], [19.5, 21.0], [22.75, 21.0], [22.75, 15.0], [22.75, 13.5], [24, 6.0], [24, 10.5], [24, 21.0], [26, 15.0], [26, 22.5], [31.25, 12.0], [47.5, 10.5], [37.75, 10.5], (0, 0)]",9,R1
31,259,"[(0, 0), [24, 6.0], [32.5, 6.0], [42.25, 6.0], [52.0, 13.5], [41.0, 19.5], [28.0, 18.0], [26, 15.0], [24, 21.0], [22.75, 15.0], [20.75, 13.5], [20.75, 9.0], (0, 0)]",9,R1
32,250,"[(0, 0), [20.75, 9.0], [20.75, 13.5], [22.75, 15.0], [24, 21.0], [24, 19.5], [24, 18.0], [28.0, 12.0], [39.0, 16.5], [52.0, 13.5], [47.5, 19.5], [47.5, 10.5], (0, 0)]",9,R1
33,228,"[(0, 0), [20.75, 9.0], [24, 6.0], [28.0, 15.0], [32.5, 21.0], [44.25, 21.0], [47.5, 19.5], [52.0, 12.0], [41.0, 10.5], (0, 0)]",9,R1
34,184,"[(0, 0), [22.75, 6.0], [24, 9.0], [31.25, 16.5], [45.5, 16.5], [15.25, 21.0], (0, 0)]",9,R1
35,192,"[(0, 0), [20.75, 9.0], [24, 21.0], [24, 9.0], [26, 6.0], [37.75, 6.0], [39.0, 9.0], [41.0, 10.5], (0, 0)]",9,R1
36,155,"[(0, 0), [20.75, 12.0], [20.75, 13.5], [32.5, 18.0], [47.5, 6.0], (0, 0)]",9,R1
37,248,"[(0, 0), [15.25, 10.5], [19.5, 18.0], [22.75, 19.5], [22.75, 13.5], [24, 9.0], [24, 18.0], [31.25, 13.5], [35.75, 19.5], [34.5, 12.0], [41.0, 10.5], (0, 0)]",9,R1
38,186,"[(0, 0), [22.75, 12.0], [22.75, 21.0], [24, 18.0], [24, 16.5], [45.5, 22.5], [45.5, 18.0], [41.0, 15.0], [41.0, 13.5], [41.0, 10.5], [39.0, 9.0], (0, 0)]",9,R1
39,243,"[(0, 0), [15.25, 10.5], [20.75, 21.0], [22.75, 13.5], [22.75, 12.0], [24, 10.5], [26, 6.0], [37.75, 13.5], [41.0, 13.5], [44.25, 9.0], (0, 0)]",9,R1
40,198,"[(0, 0), [20.75, 6.0], [20.75, 9.0], [20.75, 16.5], [19.5, 15.0], [19.5, 21.0], [47.5, 22.5], [32.5, 21.0], [24, 19.5], [24, 16.5], [24, 13.5], [22.75, 15.0], [22.75, 12.0], [22.75, 10.5], [22.75, 6.0], (0, 0)]",9,R1
41,231,"[(0, 0), [15.25, 10.5], [19.5, 21.0], [22.75, 12.0], [28.0, 9.0], [44.25, 10.5], [45.5, 22.5], [26, 18.0], [24, 19.5], [24, 18.0], [24, 10.5], (0, 0)]",9,R1
42,66,"[(0, 0), [24, 9.0], (0, 0)]",9,R1
43,233,"[(0, 0), [20.75, 6.0], [22.75, 13.5], [26, 6.0], [48.75, 12.0], [31.25, 19.5], [24, 19.5], [15.25, 21.0], [19.5, 21.0], [19.5, 12.0], (0, 0)]",9,R1
44,225,"[(0, 0), [20.75, 9.0], [32.5, 10.5], [35.75, 19.5], [37.75, 21.0], [45.5, 19.5], [47.5, 21.0], [24, 21.0], [24, 16.5], [24, 9.0], [22.75, 13.5], [22.75, 15.0], (0, 0)]",9,R1
45,260,"[(0, 0), [20.75, 12.0], [20.75, 13.5], [22.75, 12.0], [24, 12.0], [41.0, 15.0], [44.25, 19.5], [50.75, 10.5], [48.75, 6.0], [47.5, 10.5], [47.5, 9.0], (0, 0)]",9,R1
46,193,"[(0, 0), [22.75, 12.0], [22.75, 13.5], [19.5, 21.0], [19.5, 16.5], [20.75, 21.0], [24, 13.5], [24, 12.0], [24, 19.5], [24, 21.0], [45.5, 13.5], (0, 0)]",9,R1
47,306,"[(0, 0), [15.25, 10.5], [15.25, 6.0], [39.0, 9.0], [52.0, 13.5], [37.75, 18.0], [37.75, 13.5], [35.75, 21.0], [35.75, 13.5], [28.0, 18.0], [24, 13.5], [24, 10.5], [22.75, 6.0], [22.75, 12.0], [22.75, 15.0], [22.75, 21.0], [19.5, 21.0], [20.75, 12.0], (0, 0)]",9,R1
